Seat_ID,Party,Note
0,Liberal,"x=745, y=4.00021"
1,Liberal,"x=712, y=4.00017"
2,Liberal,"x=769, y=27.0002"
3,Liberal,"x=745, y=27.0002"
4,Liberal,"x=688, y=3.92896"
5,Liberal,"x=769, y=50.00007"
6,Liberal,"x=712, y=27.00018"
7,Liberal,"x=802, y=73.00008"
8,Liberal,"x=655, y=3.92898"
9,Liberal,"x=745, y=50.00007"
10,Liberal,"x=883, y=119.00002"
11,Liberal,"x=826, y=96.00008"
12,Liberal,"x=688, y=27.00018"
13,Liberal,"x=859, y=119.00002"
14,Liberal,"x=769, y=73.00008"
15,Liberal,"x=631, y=4.00018"
16,Liberal,"x=802, y=96.00008"
17,Liberal,"x=712, y=50.00007"
18,Liberal,"x=745, y=73.00008"
19,Liberal,"x=826, y=119.00008"
20,Liberal,"x=655, y=27.0002"
21,Liberal,"x=769, y=96.00008"
22,Liberal,"x=688, y=50.00007"
23,Liberal,"x=802, y=119.00008"
24,Liberal,"x=712, y=73.00008"
25,Liberal,"x=745, y=96.00008"
26,Liberal,"x=598, y=4.00021"
27,Liberal,"x=631, y=27.0002"
28,Liberal,"x=769, y=119.00015"
29,Liberal,"x=655, y=50.00007"
30,Liberal,"x=688, y=73.00008"
31,Liberal,"x=883, y=217.00015"
32,Liberal,"x=745, y=119.00008"
33,Liberal,"x=712, y=96.00008"
34,Liberal,"x=859, y=217.00015"
35,Liberal,"x=574, y=4.00021"
36,Liberal,"x=631, y=50.00007"
37,Liberal,"x=688, y=96.00008"
38,Liberal,"x=598, y=27.0002"
39,Liberal,"x=655, y=73.00008"
40,Liberal,"x=712, y=119.00008"
41,Liberal,"x=826, y=217.00026"
42,Liberal,"x=802, y=217.00026"
43,Liberal,"x=826, y=240.00026"
44,Liberal,"x=688, y=119.00008"
45,Liberal,"x=631, y=73.00008"
46,Liberal,"x=655, y=96.00008"
47,Liberal,"x=802, y=240.00026"
48,Liberal,"x=573.90143, y=27.0002"
49,Liberal,"x=598, y=50.00007"
50,Liberal,"x=769, y=217.00015"
51,Liberal,"x=802, y=263.00015"
52,Liberal,"x=655, y=119.00008"
53,Liberal,"x=631, y=96.00008"
54,Liberal,"x=541, y=4.00018"
55,Liberal,"x=769, y=240.00017"
56,Liberal,"x=745, y=217.00015"
57,Liberal,"x=598, y=73.00008"
58,Liberal,"x=769, y=263.00006"
59,Liberal,"x=745, y=240.00017"
60,Liberal,"x=573.80292, y=50.04364"
61,Liberal,"x=631, y=119.00008"
62,Liberal,"x=712, y=217.00024"
63,Liberal,"x=769, y=286.00015"
64,Liberal,"x=745, y=263.00006"
65,Liberal,"x=598, y=96.00008"
66,Liberal,"x=769.23358, y=309.46292"
67,Liberal,"x=712, y=240.00026"
68,Liberal,"x=541, y=27.00018"
69,Liberal,"x=745, y=286.00015"
70,Liberal,"x=688, y=217.00024"
71,Liberal,"x=574, y=73.00008"
72,Liberal,"x=712, y=263.00015"
73,Liberal,"x=744.86108, y=309.39877"
74,Liberal,"x=517, y=4.00018"
75,Liberal,"x=688, y=240.00026"
76,Liberal,"x=598, y=119.00008"
77,Liberal,"x=744.8576, y=332.00015"
78,Liberal,"x=712, y=286.00015"
79,Liberal,"x=688, y=263.00015"
80,Liberal,"x=574, y=96.00008"
81,Liberal,"x=655, y=217.00026"
82,Liberal,"x=541, y=50.00007"
83,Liberal,"x=712, y=309.00015"
84,Liberal,"x=688, y=286.00015"
85,Liberal,"x=655, y=240.00027"
86,Liberal,"x=712, y=332.00015"
87,Liberal,"x=574, y=119.00008"
88,Liberal,"x=688, y=309.00015"
89,Liberal,"x=688, y=309.00015"
90,Liberal,"x=631, y=217.00026"
91,Liberal,"x=517, y=27.00018"
92,Liberal,"x=655, y=263.00015"
93,Liberal,"x=541, y=73.00008"
94,Liberal,"x=688, y=332.00015"
95,Liberal,"x=631, y=240.00027"
96,Liberal,"x=655, y=286.00015"
97,Liberal,"x=631, y=263.00015"
98,Liberal,"x=655, y=309.00015"
99,Liberal,"x=541, y=96.00008"
100,Liberal,"x=517, y=50.00007"
101,Liberal,"x=655, y=332.00015"
102,Liberal,"x=655, y=332.00015"
103,Liberal,"x=598, y=217.00029"
104,Liberal,"x=631, y=286.00015"
105,Liberal,"x=631, y=309.00015"
106,Liberal,"x=598, y=240.00027"
107,Liberal,"x=541, y=119.00008"
108,Liberal,"x=630.97247, y=331.98541"
109,Liberal,"x=517, y=73.00008"
110,Liberal,"x=598, y=263.00015"
111,Liberal,"x=574, y=217.00029"
112,Liberal,"x=484, y=4.0002"
113,Liberal,"x=598, y=286.00015"
114,Liberal,"x=574, y=240.00027"
115,Liberal,"x=517, y=96.00008"
116,Liberal,"x=598, y=309.00015"
117,Liberal,"x=574, y=263.00015"
118,Liberal,"x=597.97247, y=331.98541"
119,Liberal,"x=517, y=119.00008"
120,Liberal,"x=574, y=286.00015"
121,Liberal,"x=484, y=27.00018"
122,Liberal,"x=574, y=309.00015"
123,Liberal,"x=541, y=217.00026"
124,Liberal,"x=574, y=332.00015"
125,Liberal,"x=541, y=240.00026"
126,Liberal,"x=484, y=50.00007"
127,Liberal,"x=541, y=263.00015"
128,Liberal,"x=541, y=286.00015"
129,Liberal,"x=541, y=309.00015"
130,Liberal,"x=484, y=73.00008"
131,Liberal,"x=517, y=217.00026"
132,Liberal,"x=541, y=332.00015"
133,Liberal,"x=517, y=240.00026"
134,Liberal,"x=484, y=96.00008"
135,Liberal,"x=517, y=263.00015"
136,Liberal,"x=517, y=286.00015"
137,Liberal,"x=484, y=119.00008"
138,Liberal,"x=517, y=309.00015"
139,Liberal,"x=517, y=332.00015"
140,Liberal,"x=460, y=4.0002"
141,Liberal,"x=460, y=27.00018"
142,Liberal,"x=484, y=217.00027"
143,Liberal,"x=484, y=240.00026"
144,Liberal,"x=460, y=50.00007"
145,Liberal,"x=484, y=263.00015"
146,Liberal,"x=484, y=286.00015"
147,Liberal,"x=484, y=309.00015"
148,Liberal,"x=460, y=73.00008"
149,Liberal,"x=484, y=332.00015"
150,Liberal,"x=460, y=96.00008"
151,Liberal,"x=460, y=119.00008"
152,Liberal,"x=460, y=217.00027"
153,Liberal,"x=460, y=240.00026"
154,Liberal,"x=460, y=263.00015"
155,Liberal,"x=460, y=286.00015"
156,Liberal,"x=460, y=309.00015"
157,Liberal,"x=460, y=332.00015"
158,Liberal,"x=427, y=332.00015"
159,Liberal,"x=427, y=309.00015"
160,Liberal,"x=427, y=286.00015"
161,Liberal,"x=427, y=263.00015"
162,Liberal,"x=427, y=240.00027"
163,Liberal,"x=427, y=217.00029"
164,Liberal,"x=427, y=119.00008"
165,Liberal,"x=427, y=96.00008"
166,Liberal,"x=403, y=332.00015"
167,Liberal,"x=427, y=73.00008"
168,Liberal,"x=403, y=309.00015"
169,Liberal,"x=403, y=286.00015"
170,Liberal,"x=403, y=263.00015"
171,Liberal,"x=427, y=50.00007"
172,Liberal,"x=403, y=240.00027"
173,Liberal,"x=403, y=217.00029"
174,NDP,"x=427, y=27.0002"
175,NDP,"x=427, y=4.00021"
176,NDP,"x=370, y=332.00015"
177,NDP,"x=370, y=309.00015"
178,NDP,"x=403, y=119.00008"
179,Green Party,"x=370, y=286.00015"
180,Independent,"x=370, y=263.00015"
181,Independent,"x=403, y=96.00008"
182,Conservative,"x=370, y=240.00027"
183,Conservative,"x=346, y=332.00015"
184,Conservative,"x=370, y=217.00029"
185,Conservative,"x=403, y=73.00008"
186,Conservative,"x=346, y=309.00015"
187,Conservative,"x=346, y=286.00015"
188,Conservative,"x=346, y=263.00015"
189,Conservative,"x=403, y=50.00007"
190,Conservative,"x=346, y=240.00027"
191,Conservative,"x=313, y=332.00015"
192,Conservative,"x=346, y=217.00029"
193,Conservative,"x=313, y=309.00015"
194,Conservative,"x=403, y=27.0002"
195,Conservative,"x=313, y=286.00015"
196,Conservative,"x=370, y=119.00008"
197,Conservative,"x=289, y=332.00015"
198,Conservative,"x=313, y=263.00015"
199,Conservative,"x=289, y=309.00015"
200,Conservative,"x=370, y=96.00008"
201,Conservative,"x=313, y=240.00026"
202,Conservative,"x=289, y=286.00015"
203,Conservative,"x=403, y=4.00021"
204,Conservative,"x=313, y=217.00026"
205,Conservative,"x=289, y=263.00015"
206,Conservative,"x=370, y=73.00008"
207,Conservative,"x=256, y=332.00015"
208,Conservative,"x=346, y=119.00008"
209,Conservative,"x=289, y=240.00026"
210,Conservative,"x=256, y=309.00015"
211,Conservative,"x=256, y=286.00015"
212,Conservative,"x=289, y=217.00026"
213,Conservative,"x=232, y=332.00015"
214,Conservative,"x=370, y=50.00007"
215,Conservative,"x=346, y=96.00008"
216,Conservative,"x=232, y=309.00015"
217,Conservative,"x=256, y=263.00015"
218,Conservative,"x=232, y=286.00015"
219,Conservative,"x=256, y=240.00026"
220,Conservative,"x=199, y=332.00015"
221,Conservative,"x=346, y=73.00008"
222,Conservative,"x=232, y=263.00015"
223,Conservative,"x=370, y=27.0002"
224,Conservative,"x=256, y=217.00026"
225,Conservative,"x=199, y=309.00015"
226,Conservative,"x=313, y=119.00008"
227,Conservative,"x=175, y=332.00006"
228,Conservative,"x=232, y=240.00026"
229,Conservative,"x=199, y=286.00015"
230,Conservative,"x=175, y=309.00006"
231,Conservative,"x=346, y=50.00007"
232,Conservative,"x=232, y=217.00026"
233,Conservative,"x=313, y=96.00008"
234,Conservative,"x=199, y=263.00015"
235,Conservative,"x=175, y=286.00006"
236,Conservative,"x=142, y=332.00015"
237,Conservative,"x=289, y=119.00008"
238,Conservative,"x=199, y=240.00026"
239,Conservative,"x=370, y=4.00021"
240,Conservative,"x=142, y=309.00015"
241,Conservative,"x=175, y=263.00006"
242,Conservative,"x=118, y=332.00015"
243,Conservative,"x=313, y=73.00008"
244,Conservative,"x=199, y=217.00026"
245,Conservative,"x=142, y=286.00015"
246,Conservative,"x=346, y=27.0002"
247,Conservative,"x=175, y=240.00015"
248,Conservative,"x=118, y=309.00015"
249,Conservative,"x=289, y=96.00008"
250,Conservative,"x=85, y=332.00015"
251,Conservative,"x=142, y=263.00015"
